state,rcp,year,mean_temp,1971-2000,1981-2010,1991-2020
US.MN,a1b,1860,277.32242098721593,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1861,278.56099076704544,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1862,276.617431640625,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1863,278.42653586647725,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1864,277.35140713778407,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1865,278.17440518465907,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1866,278.7273615056818,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1867,278.24245383522725,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1868,277.67629172585225,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1869,279.13405539772725,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1870,277.68326083096593,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1871,277.56882546164775,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1872,279.48310990767044,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1873,277.17158647017044,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1874,277.48239968039775,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1875,277.4464000355114,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1876,277.61601118607956,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1877,278.88192471590907,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1878,277.0374866832386,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1879,275.85311612215907,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1880,278.95998313210225,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1881,278.52028586647725,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1882,278.9935857599432,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1883,279.4849298650568,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1884,279.351806640625,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1885,279.01509232954544,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1886,279.5848499644886,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1887,280.56105735085225,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1888,281.31980202414775,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1889,276.26748934659093,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1890,276.8866521661932,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1891,279.6309925426136,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1892,277.91499467329544,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1893,279.19404740767044,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1894,278.3783513849432,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1895,279.69482421875,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1896,276.9039417613636,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1897,277.95907315340907,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1898,278.90163352272725,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1899,278.30320046164775,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1900,279.32626065340907,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1901,278.6517444957386,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1902,279.26145241477275,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1903,278.74338600852275,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1904,278.3875843394886,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1905,276.74331942471593,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1906,278.05180220170456,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1907,279.0636097301136,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1908,279.2367054332386,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1909,277.67646928267044,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1910,277.74129971590907,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1911,278.8942205255682,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1912,278.97445401278407,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1913,279.9605601917614,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1914,278.04196999289775,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1915,276.44082919034093,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1916,276.61518998579544,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1917,276.983154296875,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1918,276.4865056818182,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1919,277.51125266335225,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1920,279.185791015625,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1921,278.7659801136364,277.9504024621212,278.48025568181816,278.89214015151515
US.MN,a1b,1922,278.1155894886364,277.9504024621212,278.48025568181816,278.89214015151515
